id,customer_id,title,description,category,budget,location,district,city,status,deadline,created_at,updated_at
aa0e8400-e29b-41d4-a716-446655440001,660e8400-e29b-41d4-a716-446655440001,Fix Leaking Kitchen Sink,My kitchen sink has been leaking for a week. Need urgent plumbing repair.,plumbing,2500,Colombo,Colombo,Colombo,open,2024-02-05,2024-01-28 10:00:00,2024-01-28 10:00:00
aa0e8400-e29b-41d4-a716-446655440002,660e8400-e29b-41d4-a716-446655440002,House Cleaning Service,Need deep cleaning for 3-bedroom house. Must bring own cleaning supplies.,cleaning,6500,Kandy,Kandy,Kandy,in_progress,2024-02-03,2024-01-26 09:00:00,2024-01-27 15:00:00
aa0e8400-e29b-41d4-a716-446655440003,660e8400-e29b-41d4-a716-446655440003,Build Custom Bookshelf,Looking for carpenter to build custom bookshelf. Dimensions: 6ft x 4ft.,carpentry,20000,Galle,Galle,Galle,open,2024-02-10,2024-01-27 11:00:00,2024-01-27 11:00:00
aa0e8400-e29b-41d4-a716-446655440004,660e8400-e29b-41d4-a716-446655440004,Mathematics Tuition for A/L,Need experienced tutor for A/L Combined Mathematics. 2 hours per week.,tutoring,4000,Negombo,Gampaha,Negombo,open,2024-02-15,2024-01-27 14:00:00,2024-01-27 14:00:00
aa0e8400-e29b-41d4-a716-446655440005,660e8400-e29b-41d4-a716-446655440005,Delivery from Colombo to Jaffna,Need to deliver furniture items from Colombo to Jaffna. Three-wheeler or van required.,delivery,10000,Colombo,Colombo,Colombo,open,2024-02-08,2024-01-28 08:00:00,2024-01-28 08:00:00
aa0e8400-e29b-41d4-a716-446655440006,660e8400-e29b-41d4-a716-446655440006,Design Logo for Small Business,Need creative logo design for my new restaurant. Prefer modern style.,graphic-design,15000,Anuradhapura,Anuradhapura,Anuradhapura,completed,2024-01-30,2024-01-20 10:00:00,2024-01-28 16:00:00
aa0e8400-e29b-41d4-a716-446655440007,660e8400-e29b-41d4-a716-446655440007,Paint Living Room,Need to paint living room walls. Room size approximately 15ft x 12ft.,painting,10000,Trincomalee,Trincomalee,Trincomalee,open,2024-02-12,2024-01-28 12:00:00,2024-01-28 12:00:00
aa0e8400-e29b-41d4-a716-446655440008,660e8400-e29b-41d4-a716-446655440008,Install Ceiling Fan,Need electrician to install ceiling fan in bedroom. Fan already purchased.,electrical,2000,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,open,2024-02-06,2024-01-28 13:00:00,2024-01-28 13:00:00
aa0e8400-e29b-41d4-a716-446655440009,660e8400-e29b-41d4-a716-446655440001,Office Cleaning - Weekly,Need weekly office cleaning service. 5 rooms and common areas.,cleaning,8000,Colombo,Colombo,Colombo,open,2024-02-01,2024-01-28 14:00:00,2024-01-28 14:00:00
aa0e8400-e29b-41d4-a716-446655440010,660e8400-e29b-41d4-a716-446655440002,Repair Wooden Door,Wooden door is damaged and needs repair or replacement.,carpentry,6500,Kandy,Kandy,Kandy,open,2024-02-07,2024-01-28 15:00:00,2024-01-28 15:00:00
aa0e8400-e29b-41d4-a716-446655440011,660e8400-e29b-41d4-a716-446655440003,English Tuition for O/L,Looking for English teacher for O/L student. 3 classes per week.,tutoring,5000,Galle,Galle,Galle,in_progress,2024-02-20,2024-01-25 10:00:00,2024-01-26 11:00:00
aa0e8400-e29b-41d4-a716-446655440012,660e8400-e29b-41d4-a716-446655440004,Move Furniture to New House,Need help moving furniture from old house to new house in same city.,moving,12500,Negombo,Gampaha,Negombo,open,2024-02-09,2024-01-28 16:00:00,2024-01-28 16:00:00
aa0e8400-e29b-41d4-a716-446655440013,660e8400-e29b-41d4-a716-446655440005,Fix Water Heater,Water heater not working properly. Need experienced electrician.,electrical,4000,Jaffna,Jaffna,Jaffna,open,2024-02-04,2024-01-28 17:00:00,2024-01-28 17:00:00
aa0e8400-e29b-41d4-a716-446655440014,660e8400-e29b-41d4-a716-446655440006,Garden Maintenance,Need monthly garden maintenance. Lawn mowing and plant care.,gardening,10000,Anuradhapura,Anuradhapura,Anuradhapura,open,2024-02-15,2024-01-28 18:00:00,2024-01-28 18:00:00
aa0e8400-e29b-41d4-a716-446655440015,660e8400-e29b-41d4-a716-446655440007,Build Simple Website,Need simple 5-page website for small business. Must be mobile responsive.,web-development,32500,Trincomalee,Trincomalee,Trincomalee,open,2024-02-25,2024-01-28 19:00:00,2024-01-28 19:00:00
