id,tasker_id,title,description,category,image_urls,completed_date,created_at
aa3e8400-e29b-41d4-a716-446655440001,770e8400-e29b-41d4-a716-446655440001,Kitchen Renovation,Complete kitchen plumbing renovation including sink and dishwasher installation.,plumbing,"{""https://storage.supabase.co/portfolio/kitchen1.jpg"",""https://storage.supabase.co/portfolio/kitchen2.jpg""}",2024-01-10,2024-01-16 09:00:00
aa3e8400-e29b-41d4-a716-446655440002,770e8400-e29b-41d4-a716-446655440001,Bathroom Upgrade,Bathroom plumbing upgrade with new fixtures and water heater installation.,plumbing,"{""https://storage.supabase.co/portfolio/bathroom1.jpg""}",2024-01-05,2024-01-16 09:00:00
aa3e8400-e29b-41d4-a716-446655440003,770e8400-e29b-41d4-a716-446655440002,Office Deep Cleaning,Deep cleaning of 10-room office space including carpets and windows.,cleaning,"{""https://storage.supabase.co/portfolio/office1.jpg"",""https://storage.supabase.co/portfolio/office2.jpg""}",2024-01-12,2024-01-18 11:00:00
aa3e8400-e29b-41d4-a716-446655440004,770e8400-e29b-41d4-a716-446655440002,Villa Cleaning,Complete villa cleaning after construction. 5-bedroom property.,cleaning,"{""https://storage.supabase.co/portfolio/villa1.jpg""}",2024-01-08,2024-01-18 11:00:00
aa3e8400-e29b-41d4-a716-446655440005,770e8400-e29b-41d4-a716-446655440003,Custom Wardrobe,Built-in wardrobe with sliding doors. Teak wood construction.,carpentry,"{""https://storage.supabase.co/portfolio/wardrobe1.jpg"",""https://storage.supabase.co/portfolio/wardrobe2.jpg""}",2024-01-15,2024-01-20 08:00:00
aa3e8400-e29b-41d4-a716-446655440006,770e8400-e29b-41d4-a716-446655440003,Dining Table Set,Custom dining table with 6 chairs. Mahogany wood.,carpentry,"{""https://storage.supabase.co/portfolio/dining1.jpg""}",2024-01-07,2024-01-20 08:00:00
aa3e8400-e29b-41d4-a716-446655440007,770e8400-e29b-41d4-a716-446655440006,Restaurant Website,Modern responsive website for Spice Garden restaurant with online menu.,web-development,"{""https://storage.supabase.co/portfolio/website1.jpg""}",2024-01-28,2024-01-28 17:00:00
aa3e8400-e29b-41d4-a716-446655440008,770e8400-e29b-41d4-a716-446655440006,Business Logo Design,Logo design for local business. Modern and professional.,graphic-design,"{""https://storage.supabase.co/portfolio/logo1.jpg""}",2024-01-20,2024-01-26 11:00:00
aa3e8400-e29b-41d4-a716-446655440009,770e8400-e29b-41d4-a716-446655440007,House Exterior Painting,Complete exterior painting of 2-story house. Weather-resistant paint.,painting,"{""https://storage.supabase.co/portfolio/exterior1.jpg"",""https://storage.supabase.co/portfolio/exterior2.jpg""}",2024-01-22,2024-01-28 10:00:00
aa3e8400-e29b-41d4-a716-446655440010,770e8400-e29b-41d4-a716-446655440007,Office Interior Painting,Interior painting of office space. Professional finish.,painting,"{""https://storage.supabase.co/portfolio/interior1.jpg""}",2024-01-18,2024-01-28 10:00:00
